dataset,sources,accuracy,ID,Seed,Parameters
Emotify,Mixed + Vocals,0.32558139534883723,52,50,49
Emotify,Vocals,0.3023255813953488,51,50,50
Emotify,Vocals,0.20930232558139536,52,50,51
Emotify,Vocals + Vocals,0.27906976744186046,51,50,52
Emotify,Vocals + Vocals,0.3488372093023256,52,50,53
Emotify,Instrumental,0.4418604651162791,53,50,54
Emotify,Instrumental,0.46511627906976744,54,50,55
Emotify,Instrumental + Instrumental,0.4418604651162791,53,50,56
Emotify,Instrumental + Instrumental,0.4418604651162791,54,50,57
Emotify,Instrumental + Mixed,0.4883720930232558,53,50,58
Emotify,Instrumental + Mixed,0.4883720930232558,54,50,59
Emotify,Instrumental + Vocals,0.4418604651162791,53,50,60
Emotify,Instrumental + Vocals,0.46511627906976744,54,50,61
Emotify,Mixed,0.37209302325581395,53,50,62
Emotify,Mixed,0.4186046511627907,54,50,63
Emotify,Mixed + Mixed,0.3953488372093023,53,50,64
Emotify,Mixed + Mixed,0.37209302325581395,54,50,65
Emotify,Mixed + Vocals,0.3953488372093023,53,50,66
Emotify,Mixed + Vocals,0.3953488372093023,54,50,67
Emotify,Vocals,0.32558139534883723,53,50,68
Emotify,Vocals,0.3488372093023256,54,50,69
Emotify,Vocals + Vocals,0.3488372093023256,53,50,70
Emotify,Vocals + Vocals,0.32558139534883723,54,50,71
Emotify,Instrumental,0.3488372093023256,61,60,36
Emotify,Instrumental,0.3488372093023256,62,60,37
Emotify,Instrumental + Instrumental,0.3488372093023256,61,60,38
Emotify,Instrumental + Instrumental,0.37209302325581395,62,60,39
Emotify,Instrumental + Mixed,0.37209302325581395,61,60,40
Emotify,Instrumental + Mixed,0.4418604651162791,62,60,41
Emotify,Instrumental + Vocals,0.3488372093023256,61,60,42
Emotify,Instrumental + Vocals,0.32558139534883723,62,60,43
Emotify,Mixed,0.37209302325581395,61,60,44
Emotify,Mixed,0.46511627906976744,62,60,45
Emotify,Mixed + Mixed,0.4186046511627907,61,60,46
Emotify,Mixed + Mixed,0.3953488372093023,62,60,47
Emotify,Mixed + Vocals,0.32558139534883723,61,60,48
Emotify,Mixed + Vocals,0.37209302325581395,62,60,49
Emotify,Vocals,0.3023255813953488,61,60,50
Emotify,Vocals,0.27906976744186046,62,60,51
Emotify,Vocals + Vocals,0.32558139534883723,61,60,52
